function_start,function_end,role,instruction_addr,word,opcode,disassembly,family,edge_test_status,test_evidence
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C19C4,0x7FB50020,sq,"sq $s5, 0x20($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C19CC,0x7FB60010,sq,"sq $s6, 0x10($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C19D4,0x7FB00070,sq,"sq $s0, 0x70($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C19DC,0x7FB20050,sq,"sq $s2, 0x50($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12A0,0x7FB20070,sq,"sq $s2, 0x70($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12A8,0x7FBE0010,sq,"sq $fp, 0x10($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12B0,0x7FB00090,sq,"sq $s0, 0x90($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12B4,0x7FB10080,sq,"sq $s1, 0x80($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12B8,0x7FB30060,sq,"sq $s3, 0x60($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12BC,0x7FB40050,sq,"sq $s4, 0x50($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12C0,0x7FB50040,sq,"sq $s5, 0x40($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12C4,0x7FB60030,sq,"sq $s6, 0x30($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C12C8,0x7FB70020,sq,"sq $s7, 0x20($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C1544,0x7BB00090,lq,"lq $s0, 0x90($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C1548,0x7BB10080,lq,"lq $s1, 0x80($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C154C,0x7BB20070,lq,"lq $s2, 0x70($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C1550,0x7BB30060,lq,"lq $s3, 0x60($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C1554,0x7BB40050,lq,"lq $s4, 0x50($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C1558,0x7BB50040,lq,"lq $s5, 0x40($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C155C,0x7BB60030,lq,"lq $s6, 0x30($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C1560,0x7BB70020,lq,"lq $s7, 0x20($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1298,0x003C1578,sound thread direct callee,0x003C1564,0x7BBE0010,lq,"lq $fp, 0x10($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C07C4,0x44800000,mtc1,"mtc1 $zero, $f0",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C07D4,0x44810000,mtc1,"mtc1 $at, $f0",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C07E8,0x44810000,mtc1,"mtc1 $at, $f0",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C07FC,0x44810000,mtc1,"mtc1 $at, $f0",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C0808,0xE4A00000,swc1,"swc1 $f0, 0x0($a1)",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C080C,0x46000007,neg.s,"neg.s $f0, $f0",COP1,tested,ps2_fpu_cop2_audit_tests.cpp
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C0818,0xE4400000,swc1,"swc1 $f0, 0x0($v0)",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C082C,0x48280800,qmfc2.ni,"qmfc2.ni $t0, $vf1",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C0830,0x48291000,qmfc2.ni,"qmfc2.ni $t1, $vf2",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C0834,0xDBA10000,lqc2,"lqc2 $vf1, 0x0($sp)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C0838,0xDBA20010,lqc2,"lqc2 $vf2, 0x10($sp)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C083C,0x4BE2086A,vmul.xyzw,"vmul.xyzw $vf1, $vf1, $vf2",COP2/VU0,tested,ps2_fpu_cop2_audit_tests.cpp
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C0840,0x48A80800,qmtc2.ni,"qmtc2.ni $t0, $vf1",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C0844,0x48A91000,qmtc2.ni,"qmtc2.ni $t1, $vf2",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C07A8,0x003C0858,sound thread VU0 state helper,0x003C0848,0x4A0002FF,vnop,vnop,COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C085C,0x48498801,cfc2.i,"cfc2.i $t1, $vi17",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0860,0xF9010000,sqc2,"sqc2 $vf1, 0x0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0864,0xF9020010,sqc2,"sqc2 $vf2, 0x10($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C086C,0xF9030020,sqc2,"sqc2 $vf3, 0x20($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0870,0xF9040030,sqc2,"sqc2 $vf4, 0x30($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0874,0x48C98000,ctc2.ni,"ctc2.ni $t1, $vi16",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0878,0xF9050040,sqc2,"sqc2 $vf5, 0x40($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C087C,0xF9060050,sqc2,"sqc2 $vf6, 0x50($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0884,0xF9070060,sqc2,"sqc2 $vf7, 0x60($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0888,0xF9080070,sqc2,"sqc2 $vf8, 0x70($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C088C,0x4BE00048,vmaddx.xyzw,"vmaddx.xyzw $vf1, $vf0, $vf0x",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0890,0xF9090080,sqc2,"sqc2 $vf9, 0x80($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0894,0xF90A0090,sqc2,"sqc2 $vf10, 0x90($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C0898,0xF90B00A0,sqc2,"sqc2 $vf11, 0xA0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C089C,0xF90C00B0,sqc2,"sqc2 $vf12, 0xB0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08A0,0xF90D00C0,sqc2,"sqc2 $vf13, 0xC0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08A4,0xF90E00D0,sqc2,"sqc2 $vf14, 0xD0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08A8,0xF90F00E0,sqc2,"sqc2 $vf15, 0xE0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08AC,0xF91000F0,sqc2,"sqc2 $vf16, 0xF0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08B0,0xF9110100,sqc2,"sqc2 $vf17, 0x100($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08B4,0xF9120110,sqc2,"sqc2 $vf18, 0x110($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08B8,0xF9130120,sqc2,"sqc2 $vf19, 0x120($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08BC,0xF9140130,sqc2,"sqc2 $vf20, 0x130($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08C0,0xF9150140,sqc2,"sqc2 $vf21, 0x140($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08C4,0xF9160150,sqc2,"sqc2 $vf22, 0x150($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08C8,0xF9170160,sqc2,"sqc2 $vf23, 0x160($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08CC,0xF9180170,sqc2,"sqc2 $vf24, 0x170($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08D0,0xF9190180,sqc2,"sqc2 $vf25, 0x180($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08D4,0xF91A0190,sqc2,"sqc2 $vf26, 0x190($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08D8,0xF91B01A0,sqc2,"sqc2 $vf27, 0x1A0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08DC,0xF91C01B0,sqc2,"sqc2 $vf28, 0x1B0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08E0,0xF91D01C0,sqc2,"sqc2 $vf29, 0x1C0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08E4,0xF91E01D0,sqc2,"sqc2 $vf30, 0x1D0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08E8,0xF91F01E0,sqc2,"sqc2 $vf31, 0x1E0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C0858,0x003C08F8,sound thread VU0 save,0x003C08EC,0xF90101F0,sqc2,"sqc2 $vf1, 0x1F0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C08FC,0x7FB00010,sq,"sq $s0, 0x10($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C090C,0xD90101F0,lqc2,"lqc2 $vf1, 0x1F0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0910,0x4BE0083C,vaddax.xyzw,"vaddax.xyzw $ACC, $vf1, $vf0x",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0914,0xD9010000,lqc2,"lqc2 $vf1, 0x0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0918,0xD9020010,lqc2,"lqc2 $vf2, 0x10($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C091C,0xD9030020,lqc2,"lqc2 $vf3, 0x20($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0920,0xD9040030,lqc2,"lqc2 $vf4, 0x30($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0924,0xD9050040,lqc2,"lqc2 $vf5, 0x40($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0928,0xD9060050,lqc2,"lqc2 $vf6, 0x50($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0938,0xD9070060,lqc2,"lqc2 $vf7, 0x60($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C093C,0xD9080070,lqc2,"lqc2 $vf8, 0x70($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0940,0xD9090080,lqc2,"lqc2 $vf9, 0x80($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0944,0xD90A0090,lqc2,"lqc2 $vf10, 0x90($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0948,0xD90B00A0,lqc2,"lqc2 $vf11, 0xA0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C094C,0xD90C00B0,lqc2,"lqc2 $vf12, 0xB0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0954,0xD90D00C0,lqc2,"lqc2 $vf13, 0xC0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0958,0xD90E00D0,lqc2,"lqc2 $vf14, 0xD0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C095C,0x48C98000,ctc2.ni,"ctc2.ni $t1, $vi16",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0960,0xD90F00E0,lqc2,"lqc2 $vf15, 0xE0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0964,0xD91000F0,lqc2,"lqc2 $vf16, 0xF0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0968,0xD9110100,lqc2,"lqc2 $vf17, 0x100($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C096C,0xD9120110,lqc2,"lqc2 $vf18, 0x110($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0970,0xD9130120,lqc2,"lqc2 $vf19, 0x120($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0974,0xD9140130,lqc2,"lqc2 $vf20, 0x130($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0978,0xD9150140,lqc2,"lqc2 $vf21, 0x140($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C097C,0xD9160150,lqc2,"lqc2 $vf22, 0x150($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0980,0xD9170160,lqc2,"lqc2 $vf23, 0x160($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0984,0xD9180170,lqc2,"lqc2 $vf24, 0x170($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0988,0xD9190180,lqc2,"lqc2 $vf25, 0x180($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C098C,0xD91A0190,lqc2,"lqc2 $vf26, 0x190($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0990,0xD91B01A0,lqc2,"lqc2 $vf27, 0x1A0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0994,0xD91C01B0,lqc2,"lqc2 $vf28, 0x1B0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C0998,0xD91D01C0,lqc2,"lqc2 $vf29, 0x1C0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C099C,0xD91E01D0,lqc2,"lqc2 $vf30, 0x1D0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C09A0,0xD91F01E0,lqc2,"lqc2 $vf31, 0x1E0($t0)",COP2/VU0,untested,No matching PCSX2 edge-input semantics test found
0x003C08F8,0x003C09B8,sound thread VU0 restore,0x003C09A4,0x7BB00010,lq,"lq $s0, 0x10($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C8968,0x003C8A40,sound thread direct mix dispatcher,0x003C8970,0x7FB00060,sq,"sq $s0, 0x60($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C8968,0x003C8A40,sound thread direct mix dispatcher,0x003C897C,0x7FB10050,sq,"sq $s1, 0x50($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C8968,0x003C8A40,sound thread direct mix dispatcher,0x003C8980,0x7FB20040,sq,"sq $s2, 0x40($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C8968,0x003C8A40,sound thread direct mix dispatcher,0x003C8984,0x7FB30030,sq,"sq $s3, 0x30($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C8968,0x003C8A40,sound thread direct mix dispatcher,0x003C8A20,0x7BB00060,lq,"lq $s0, 0x60($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C8968,0x003C8A40,sound thread direct mix dispatcher,0x003C8A24,0x7BB10050,lq,"lq $s1, 0x50($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C8968,0x003C8A40,sound thread direct mix dispatcher,0x003C8A28,0x7BB20040,lq,"lq $s2, 0x40($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C8968,0x003C8A40,sound thread direct mix dispatcher,0x003C8A2C,0x7BB30030,lq,"lq $s3, 0x30($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C85D8,0xE7B400B0,swc1,"swc1 $f20, 0xB0($sp)",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C85E0,0x7FB000A0,sq,"sq $s0, 0xA0($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C85E4,0x7FB10090,sq,"sq $s1, 0x90($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C85EC,0x7FB20080,sq,"sq $s2, 0x80($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C85F4,0x7FB30070,sq,"sq $s3, 0x70($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C85FC,0x7FBE0020,sq,"sq $fp, 0x20($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C8604,0x7FB40060,sq,"sq $s4, 0x60($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C860C,0x7FB50050,sq,"sq $s5, 0x50($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C8610,0x7FB60040,sq,"sq $s6, 0x40($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C8614,0x7FB70030,sq,"sq $s7, 0x30($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C861C,0x4480A000,mtc1,"mtc1 $zero, $f20",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C8638,0xC6000000,lwc1,"lwc1 $f0, 0x0($s0)",COP1,untested,No matching PCSX2 edge-input semantics test found
0x003C85D0,0x003C8968,mix dispatcher callee; indirect callbacks,0x003C863C,0x46140032,c.eq.s,"c.eq.s $f0, $f20",COP1,tested,ps2_fpu_cop2_audit_tests.cpp
