file,size_bytes,md5,module_name,module_version,entry_hex,origin,file_type,import_libs,import_count,export_lib,export_version,export_slots,rpc_server,rpc_client,cmd_handlers,libsd_funcs
LIBNET.IRX,6661,953045c6551bd77fccdcb3a58fcf49cd,Libnet,1.23,0xafc,Sony,ELF32-MIPS-I-IOP,msifrpc:2;inet:20;inetctl:7;intrman:2;loadcore:2;sifcmd:1;stdio:1;sysclib:1;thbase:5;thsemap:4,45,Libnet,1.1,4 slots 0-3 only,,,,
MCMAN.IRX,95877,4b9daf423479eded7d7cd812528cbbfb,mcman,2.34,0x178,Sony,ELF32-MIPS-I-IOP,loadcore:2;intrman:2;sio2man:5;sysclib:8;stdio:1;thbase:3;thsemap:5;modload:1;ioman:2;secrman:3;cdvdman:1,33,mcman,2.7,62 slots live 48,,,,
MCSERV.IRX,7417,4b7bf828b3a13cee39bcd618899bf1a8,mcserv,2.16,0x58,Sony,ELF32-MIPS-I-IOP,loadcore:2;intrman:2;sysclib:4;stdio:1;sifman:4;sifcmd:7;thbase:8;thsemap:2;mcman:23,53,mcserv,2.1,8 slots all live,0x80000400@0x31c->0x33c,,,
NETCNF.IRX,65805,c516c4314e1aef82641ad6d02e93564a,NET_configuration,1.20,0x334,Sony,ELF32-MIPS-I-IOP,sysmem:2;loadcore:2;intrman:2;thbase:1;thsemap:4;sysclib:14;ioman:16;stdio:1;cdvdman:1,43,netcnf,1.32,24 slots 0-23 all live,,,,
PPP.IRX,102285,c1b40994bdcb296cbb6cd32bc3962189,INET_PPP,1.92,0xea0c,Sony,ELF32-MIPS-I-IOP,netdev:10;intrman:2;loadcore:2;sysclib:9;thbase:10;thevent:5;thsemap:4;modload:1,43,modem,1.1,24 slots live 0-5,,,,
PPPOE.IRX,17121,89575a55cbefc35c9ec3e9bbfc7ffcdb,INET_PPPoE_driver,1.92,0x2388,Sony,ELF32-MIPS-I-IOP,modem:2;netdev:10;sysclib:7;thbase:8;thevent:5;thsemap:4;intrman:2;modload:1,39,,,,,,,
SIO2MAN.IRX,6641,07d3682a85c246cff2537f5b037a5283,sio2man,3.0,0x634,Sony,ELF32-MIPS-I-IOP,loadcore:1;intrman:6;stdio:1;dmacman:5;thbase:3;thevent:5;thsemap:4;sysclib:3,28,sio2man,2.4,64 slots live 62,,,,
SMAP.IRX,16977,2aab2a455b034d42fc9ef863d8c178b1,INET_SMAP_driver,1.92,0x272c,Sony,ELF32-MIPS-I-IOP,netdev:7;dev9:7;intrman:2;stdio:1;sysclib:6;thbase:9;thevent:5;modload:3;loadcore:2,42,smap,1.1,4 slots 0-3 only,,,,
SPDUART.IRX,18537,cb34571bac9b04df6fd4c2762df003da,INET_SPEED_UART_driver,2.1,0x1a80,Sony,ELF32-MIPS-I-IOP,modem:2;netdev:1;dev9:4;intrman:2;loadcore:2;stdio:1;sysclib:9;thbase:10;thevent:5;ioman:3;modload:1,40,spduart,1.1,4 slots 0-3 only,,,,
USBD.IRX,34969,6d8e4ec5acba0ef3abe6b8cff7edfe1e,USB_driver,2.4,0x4cc4,Sony,ELF32-MIPS-I-IOP,sysmem:2;loadcore:2;intrman:6;stdio:1;thbase:6;thevent:5;thsemap:4;sysclib:2,28,usbd,1.1,19 slots 0-18 all live,,,,
USBKB.IRX,12853,1d597b55517582696deb93b19f47d405,USB_Keyboard_Driver,2.2,0x0,Sony,ELF32-MIPS-I-IOP,usbd:9;sysmem:2;intrman:2;sifcmd:6;stdio:1;sysclib:2;thbase:5,27,,,,0x80000211@0x74c->0x76c,,,
VOIPF.IRX,16105,37d1fc1a7629ba6350a85093901512ac,Tiburon VoIP,1.2,0x1484,EA,ELF32-MIPS-I-IOP,lgaud:14;inet:9;intrman:2;sifcmd:4;sifman:1;stdio:1;sysclib:3;thbase:3;vblank:2,39,,,,0x237@0xdec->0x890,,,
